loadable,snapshot_date,source_commit,profiles,source,status,baseline_coverage,limited,evidence,coverage_scope,sanitizer_evidence,fuzz_evidence,companion_loadables,busybox_applet,busybox_availability,external_program,external_availability,comparison_scope,metric_kind,work_unit,benchmark_cases,selected_case,fixture,builtin_command,external_command,passes,timed_samples,bashos_result,bashos_ms,busybox_ms,external_ms,bashos_over_external,priority,next_work,notes
bashclock,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashclock.c,Bench checked,Build/help,False,,,,,,,n/a,Bash EPOCHREALTIME / Python time,adapter,Different clock APIs; define clock and precision first.,compared,"one 20-character SECS.NANOS parse through bc_parse_ts (full 9-digit fraction path) plus one clock_nanosleep(CLOCK_MONOTONIC, 0, {0,0}) per pass",bashclock-sleep,bashclock-sleep,empty,bashclock sleep 0.000000000,sleep 0.000000000,126,7,ok,11.268,101.577,86.586,0.1301,P4,Extend sizes/options; no selected-case performance priority.,
bashdhcp,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashdhcp.c,Bench checked,Build/help,False,,,,,,udhcpc,available,dhclient / udhcpc,adapter,DHCP exchange fixture required.,self-timed,"one 341-byte DHCPOFFER decoded: 9 options plus the BOOTP file field walked, 12 lease fields printed",bashdhcp-parse-message,bashdhcp-parse-message,empty,bashdhcp parse-message 020106003903f3260000800000000000c000020ac00002020000000002000000ab0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007078656c696e75782e3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501023604c0000201330400001c203a0400000e103b040000189c0104ffffff000304c00002010608c0000235c00002360f0f666978747572652e696e76616c69644214746674702e666978747572652e696e76616c6964430a7078656c696e75782e30ff,bashdhcp parse-message 020106003903f3260000800000000000c000020ac00002020000000002000000ab0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007078656c696e75782e3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501023604c0000201330400001c203a0400000e103b040000189c0104ffffff000304c00002010608c0000235c00002360f0f666978747572652e696e76616c69644214746674702e666978747572652e696e76616c6964430a7078656c696e75782e30ff,126,7,ok,5.662,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
bashinotify,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashinotify.c,Bench checked,Build/help,False,,,,,,inotifyd,missing,inotifywait,missing,Event APIs differ; compare notification latency with an adapter.,self-timed,32 queued inotify events drained in one read(2) of the global inotify fd and formatted as 32 'WD attrib NAME' lines (407 bytes),bashinotify-drain,bashinotify-drain,empty,bashinotify wait -t 0,bashinotify wait -t 0,123,7,ok,11.727,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
bashio,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashio.c,Bench checked,Build/help,False,,,,,,,n/a,Python os.pread/os.pwrite,adapter,"Descriptor API; compare the same offsets, sizes and sync policy.",compared,"65,536 bytes read with one pread(2) and hex-encoded to 131,072 hex digits through bio_print_hex's 4 KB-chunked per-byte loop",bashio-pread;bashio-pread-hex,bashio-pread-hex,bytes,bashio pread -x 0 65536 0,xxd -p -c 65536,80,7,ok,13.266,417.067,119.68,0.1108,P4,Extend sizes/options; no selected-case performance priority.,
bashjson,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashjson.c,Bench checked,Build/help,False,,,,,,,n/a,jq,available,Only overlapping JSON operations; strictness differs.,compared,,bashjson,bashjson,object,bashjson get .answer,jq .answer,67,7,ok,35.133,,282.417,0.1244,P4,Extend sizes/options; no selected-case performance priority.,
bashkmod,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashkmod.c,Bench checked,Build/help,False,,,,,,modprobe,available,modprobe / insmod / rmmod,adapter,Device/kernel fixture needed.,self-timed,"454227 B / 8601 modules.alias lines read, 8600 fnmatch(3) calls against the query modalias, 200 matches deduped and printed in file order (1800 B out)",bashkmod-aliases,bashkmod-aliases,empty,bashkmod aliases pci:v00008086d00001000sv00000000sd00000000bc0Csc03i30,bashkmod aliases pci:v00008086d00001000sv00000000sd00000000bc0Csc03i30,50,7,ok,54.468,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
bashlogger,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashlogger.c,Build/help,Build/help,False,,,,,,logger,available,logger,available,Use a private syslog receiver.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
bashmount,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashmount.c,Bench checked,Build/help,False,,,,,,mount,available,mount / umount / findmnt,adapter,Mount namespace and filesystem fixture required.,compared,"2000 mountinfo records (199510 B) tokenized, dash-scanned for type/source and re-emitted as 2000 eight-field rows (137198 B, 16000 fields)",bashmount-findmnt,bashmount-findmnt,empty,bashmount --findmnt-table mountinfo,"findmnt --tab-file mountinfo --raw --noheadings -o ID,PARENT,MAJ:MIN,FSROOT,TARGET,VFS-OPTIONS,FSTYPE,SOURCE",42,7,ok,63.388,,461.233,0.1374,P4,Extend sizes/options; no selected-case performance priority.,
bashpoll,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;desktop;full,loadables/bashpoll.c,Bench checked,Build/help,False,,,,,,,n/a,Python selectors / socket,adapter,Persistent descriptor API; no equivalent applet CLI.,self-timed,one epoll instance per pass: epoll_create1 + 8 level-triggered EPOLL_CTL_ADD registrations + one non-blocking epoll_wait + 8 formatted event lines + close,bashpoll-wait,bashpoll-wait,empty,bashpoll wait -t 0 2:write 9:write 8:write 7:write 6:write 5:write 4:write 3:write,bashpoll wait -t 0 2:write 9:write 8:write 7:write 6:write 5:write 4:write 3:write,130,7,ok,6.634,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
bashsyslogd,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashsyslogd.c,Build/help,Build/help,False,,,,,,syslogd,available,rsyslogd / syslogd,adapter,Private socket and sink; include loss and throughput.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
bashtermraw,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/bashtermraw.c,Bench checked,Build/help,False,,,,,,stty,available,stty,available,Private PTY state transition fixture.,self-timed,"one tcgetattr plus TIOCGWINSZ serialized as 4 flag words, 32 c_cc entries, 2 speeds and a winsize, 112 bytes out. btr_open_tty_quiet() opens /dev/tty first and falls back to stdin, so the state read is the bench process's controlling terminal when it has one and the ptmx fixture's fresh pty when it does not; the per-pass floor is the kernel pty allocation of that redirect rather than the two ioctls, which makes this a weak but real self metric",bashtermraw-stty-g,bashtermraw-stty-g,ptmx,bashtermraw stty-g,bashtermraw stty-g,122,7,ok,7.277,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
batch,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/batch.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,batch,missing,Same-name candidate; only measured arguments are compared.,self-timed,"120000 B script ingested from stdin and written as a 120020 B spool job file (fread/fwrite loop, chmod 0600, fclose); the reset deletes the previous pass's job file",batch-queue,batch-queue,left,batch,batch,20,7,ok,4.539,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
bc,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;desktop;full,loadables/bc.c,Parity,Parity,True,tests/bc-parity.py;tests/large-smoke.py;tests/input-lifetime.py,"Arithmetic subset, repeated and interleaved redirected input, read(), block boundaries and invocation state; see docs/bc.md.; Selected language expressions against host tools; not full language conformance.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/bc-sanitize.sh;tests/large-sanitize.sh,,,bc,available,bc,available,Same-name candidate; only measured arguments are compared.,compared,,bc,bc,arithmetic,bc,bc,80,7,ok,5.573,70.617,70.232,0.0794,P3,Decide required option scope; see limitations.,"Repeated stdin is fixed. User functions, output-base printing, control flow, comments and file operands remain outside the supported language subset."
bignum,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/bignum.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,bc,available,Python int / bc,adapter,Compare the same arithmetic operations and output base.,compared,,bignum;bignum-mul,bignum-mul,empty,bignum mul 123 456,expr 123 '*' 456,120,7,ok,4.854,105.697,88.863,0.0546,P4,Extend sizes/options; no selected-case performance priority.,
binhex,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/binhex.c,Bench checked,Build/help,False,,,,,,xxd,available,xxd,available,Hex encoding/decoding; adapt command arguments.,compared,,binhex;binhex-decode,binhex-decode,hexbytes,binhex -d,xxd -r -p,78,7,ok,28.387,165.367,153.055,0.1855,P4,Extend sizes/options; no selected-case performance priority.,
blkid,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/blkid.c,Bench checked,Build/help,False,,,,,,blkid,available,blkid,available,Same-name candidate; only measured arguments are compared.,compared,,blkid-label;blkid-type,blkid-type,empty,blkid -s TYPE -o value disk.img,blkid -s TYPE -o value disk.img,90,7,ok,5.483,,115.923,0.0473,P4,Extend sizes/options; no selected-case performance priority.,
blockdev,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/blockdev.c,Build/help,Build/help,False,,,,,,blockdev,available,blockdev,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
bsdgames,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,loadables/bsdgames.c,Contract,Contract,False,tests/large-smoke.py,"Private images, files, loopback services or tool-specific fixtures.",tests/large-sanitize.sh,,,,n/a,bsdgames,missing,Compare one matching game/algorithm at a time.,compared,"1,680,000 bytes ROT13-filtered through a getchar/putchar loop",bsdgames-primes;bsdgames-rot13,bsdgames-rot13,duplicates,bsdgames rot13,tr A-Za-z N-ZA-Mn-za-m,3,7,ok,100.655,13.39,8.014,12.5599,P3,"Confirm bsdgames-rot13 (12.56× external time), then profile.","The headless games read stdin with fgets and now clearerr(stdin) at the builtin entry; before, a second game in the same shell read nothing and exited 0 without playing."
buf,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/buf.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,,n/a,Persistent buffer API; benchmark editing operations.,compared,"8,062 in-memory buffer lines joined and written as 423,000 bytes to stdout per pass",buf-load;buf-text,buf-text,empty,buf text 0,cat text,19,7,ok,52.113,18.86,16.641,3.1316,P3,"Confirm buf-text (3.13× external time), then profile.",
cal,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/cal.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,cal,available,cal,missing,Same-name candidate; only measured arguments are compared.,compared,,cal,cal,empty,cal 2 2024,cal 2 2024,87,7,ok,4.041,67.281,,,P4,Extend sizes/options; no selected-case performance priority.,
caps,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/caps.c,Smoke,Smoke,False,tests/system-smoke.sh,Selected read/query paths; no full subsystem integration claim.,,,,,n/a,capsh / setpriv,adapter,Capability/query semantics need an isolated fixture.,self-timed,"83 capability syscalls per call (one capget of _LINUX_CAPABILITY_VERSION_3, 41 prctl PR_CAPBSET_READ, 41 prctl PR_CAP_AMBIENT IS_SET) and five mask-to-name renderings, 657 bytes out",caps-probe,caps-probe,empty,caps probe,caps probe,98,7,ok,4.926,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
cat,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/cat.c,Contract,Contract,False,tests/host-smoke.sh,"Basic file, pipe or archive behavior with an empty PATH.",,,,cat,available,cat,available,Same-name candidate; only measured arguments are compared.,compared,,cat,cat,text,cat,cat,80,7,ok,7.979,58.076,57.517,0.1387,P4,Extend sizes/options; no selected-case performance priority.,
chattr,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/chattr.c,Bench checked,Build/help,False,,,,,,,n/a,chattr,available,Same-name candidate; only measured arguments are compared.,compared,"513 paths walked per pass (512 files + the directory): open + FS_IOC_GETFLAGS + FS_IOC_SETFLAGS + close on each, on both arms, because the reset clears the +A bit before every pass; plus a 512-entry readdir walk",chattr,chattr,empty,chattr -R +A attrtree,chattr -R +A attrtree,23,7,ok,72.971,,136.683,0.5339,P4,Extend sizes/options; no selected-case performance priority.,
chgrp,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/chgrp.c,Bench checked,Build/help,False,,,,,,chgrp,available,chgrp,available,Same-name candidate; only measured arguments are compared.,compared,,chgrp,chgrp,empty,chgrp pleb text,chgrp pleb text,113,7,ok,6.706,96.56,96.715,0.0693,P4,Extend sizes/options; no selected-case performance priority.,
chmod,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/chmod.c,Bench checked,Build/help,False,,,,,,chmod,available,chmod,available,Same-name candidate; only measured arguments are compared.,compared,,chmod,chmod,empty,chmod 644 text,chmod 644 text,112,7,ok,4.131,94.122,72.522,0.057,P4,Extend sizes/options; no selected-case performance priority.,
chown,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/chown.c,Bench checked,Build/help,False,,,,,,chown,available,chown,available,Same-name candidate; only measured arguments are compared.,compared,,chown,chown,empty,chown pleb text,chown pleb text,139,7,ok,6.185,116.742,100.327,0.0616,P4,Extend sizes/options; no selected-case performance priority.,
